"artifact","moduleUrl","moduleLicense","moduleLicenseUrl",
"org.springframework.boot:spring-boot:4.1.0","https://spring.io/projects/spring-boot","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-autoconfigure:4.1.0","https://spring.io/projects/spring-boot","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-http-converter:4.1.0","https://spring.io/projects/spring-boot","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-jackson:4.1.0","https://spring.io/projects/spring-boot","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-servlet:4.1.0","https://spring.io/projects/spring-boot","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-starter:4.1.0","https://spring.io/projects/spring-boot","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-starter-jackson:4.1.0","https://spring.io/projects/spring-boot","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-starter-logging:4.1.0","https://spring.io/projects/spring-boot","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-starter-tomcat:4.1.0","https://spring.io/projects/spring-boot","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-starter-tomcat-runtime:4.1.0","https://spring.io/projects/spring-boot","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-starter-web:4.1.0","https://spring.io/projects/spring-boot","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-tomcat:4.1.0","https://spring.io/projects/spring-boot","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-web-server:4.1.0","https://spring.io/projects/spring-boot","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-webmvc:4.1.0","https://spring.io/projects/spring-boot","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.yaml:snakeyaml:2.6","https://bitbucket.org/snakeyaml/snakeyaml","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"tools.jackson:jackson-bom:3.1.4","https://github.com/FasterXML/jackson-bom","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"tools.jackson.core:jackson-core:3.1.4","https://github.com/FasterXML/jackson-core","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"tools.jackson.core:jackson-databind:3.1.4","https://github.com/FasterXML/jackson","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"tools.jackson.dataformat:jackson-dataformat-yaml:3.1.4","https://github.com/FasterXML/jackson-dataformats-text","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
